"caseid","SurveyId","v000","v005","v007","v012","v021","v022","v025","v119","v121","v133","v136","v157","v158","v159","v190","v191","v212","v301","v364","v501","v503","v531","v536","v613","v714","v715","v717","v836"
"       23119  2","GU2015DHS","GU6",1342681,2015,40,231,10,1,1,1,17,5,2,2,2,4,84648,18,3,1,2,2,18,1,3,1,12,1,2
"       23120  2","AM2016DHS","AM7",1121528,2016,38,231,14,2,1,1,13,4,1,0,2,1,-141860,27,3,1,1,1,26,1,4,0,10,0,1
"       23120  3","GU2015DHS","GU6",1342681,2015,17,231,10,1,1,1,9,9,1,2,2,4,6473,NA,3,3,0,NA,0,0,3,0,NA,9,NA
"       23120  6","GU2015DHS","GU6",1342681,2015,27,231,10,1,1,1,3,9,1,2,2,4,6473,NA,3,4,0,NA,20,3,2,1,NA,3,1
"       23120  8","GU2015DHS","GU6",1342681,2015,24,231,10,1,1,1,3,9,2,2,2,4,6473,NA,3,3,0,NA,0,0,3,0,NA,0,NA
"       23121  2","GU2015DHS","GU6",1342681,2015,25,231,10,1,1,1,11,5,2,2,2,4,54906,21,3,3,1,1,17,1,2,1,6,3,2
"       23122  2","AM2016DHS","AM7",1121528,2016,43,231,14,2,1,1,10,4,2,0,2,3,43031,19,3,4,1,1,18,1,2,0,13,0,1
"       23122  2","GU2015DHS","GU6",1342681,2015,27,231,10,1,1,1,6,4,1,2,2,3,-7763,19,3,1,1,1,17,3,3,0,6,0,1
"       23123  2","GU2015DHS","GU6",1342681,2015,30,231,10,1,1,1,0,7,2,2,2,4,12284,15,3,1,2,2,97,1,4,0,0,0,2
"       23123  4","GU2015DHS","GU6",1342681,2015,15,231,10,1,1,1,7,7,2,2,2,4,12284,NA,3,4,0,NA,0,0,2,0,NA,0,NA
"       23124  2","GU2015DHS","GU6",1342681,2015,38,231,10,1,1,0,17,4,2,2,2,4,59594,20,3,2,1,1,17,1,2,1,9,1,1
"       23124  3","GU2015DHS","GU6",1342681,2015,18,231,10,1,1,0,12,4,2,1,2,4,59594,NA,3,3,0,NA,0,0,2,1,NA,3,NA
"       23125  1","GU2015DHS","GU6",1342681,2015,26,231,10,1,1,1,11,7,2,2,2,5,167540,18,3,1,5,1,17,1,1,0,15,0,2
"       23125  3","AM2016DHS","AM7",1121528,2016,32,231,14,2,1,1,10,6,0,0,2,2,-35708,24,3,2,1,1,21,1,3,0,10,0,1
"       23125  5","GU2015DHS","GU6",1342681,2015,20,231,10,1,1,1,9,7,2,2,2,5,167540,18,3,1,2,1,16,1,0,0,11,0,1
"       23126  1","GU2015DHS","GU6",1342681,2015,42,231,10,1,1,1,12,4,2,2,2,5,132381,18,3,4,5,1,18,1,3,1,15,1,3
"       23126  2","GU2015DHS","GU6",1342681,2015,22,231,10,1,1,1,13,4,1,2,2,5,132381,NA,3,3,5,1,16,3,2,0,14,0,2
"       23128  3","AM2016DHS","AM7",1121528,2016,39,231,14,2,1,1,13,5,1,1,2,2,-17464,26,3,2,1,1,23,1,4,1,10,1,1
"       232 1  2","GU2015DHS","GU6",998138,2015,26,232,11,2,1,0,0,5,0,0,0,1,-132073,19,3,1,1,1,19,1,6,0,3,0,1
"       232 1  3","AM2016DHS","AM7",1121528,2016,28,232,14,2,1,1,10,5,0,0,2,1,-71955,23,3,2,1,1,22,1,2,0,10,0,1
"       232 2  2","GU2015DHS","GU6",998138,2015,31,232,11,2,1,1,9,3,2,1,2,3,-43640,27,3,3,1,1,22,1,3,0,3,0,1
"       232 2  4","AM2016DHS","AM7",1121528,2016,29,232,14,2,0,1,15,5,2,2,2,4,66456,27,3,4,1,1,25,1,2,1,15,2,1
"       232 3  2","GU2015DHS","GU6",998138,2015,46,232,11,2,1,0,0,6,0,2,1,2,-96027,20,3,2,2,2,15,1,6,0,0,0,2
